,Job Link,Unique ID,Title,Company Name,Company Location,Salary
0,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AraZfUMCdnJNjJsWHy6D3Ra_0D6GRfEkfGXZiKyoRK-XoVzy7uvyPSVqJHGeUFl-FLMUKzjR9Ulur31dxIs3JLz4ZMeNQ2PMScizN6Dl0CR4RDQPBQnUmQGRo8Zi4IKO2QP2CrrxfmTioYkd-xMVjN8xe_xtfAYzBGUrpUDkeGQxe_T9LjboVCsnFSH27EOOpOHsTqzFuTXbHohRA_GbcpxqpyrNH4WLFIv5xHicZkbI5CLW721JG_IJAdj-kdLUgQRc6Wgt85gCTxYkKwaUfDO49R5CvcDhlb3JW2aMBubr7TvQss3oopDn1a2JwURqBKFCQPSKUiBcVR4k1IbuQfI07Hw22lhnArFPE5NalCaEMG5LpvS5_tnAXwlhYLXWy1LVoJ18gu6L916_3c2SJF9NP_7b1SzZhRBl5puo5HQxNbiN1qjYfQdUfSQaCbkYc6QE4eI57HoPyqDwcyi9-4kn5PzehAfvmxXCderhCBbA3zLRKDsFnFHM2GAFPTgxuF46O6RQEKbYwSLWQk23N8&p=0&fvj=1&vjs=3,sj_5c5863ad3bc731fb,Big Data Engineer- Entry level,Information Tech Consultants,London,"£25,000 - £35,000 a year"
1,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPD0bt9JAdjOubXaOlasaA9cSAf68lccJAaPUaYP7D2Tkt6yqo4lyyHEB_QZPwHTJbHAyv3ofbilXu2anjV6u8lGjfemtvbH1aQEJX4igODxYriEpdj7IMS14dZvadK1lRivqrHJbn2ZfuudP7nievVu_Oe3nVPpo8iLlXkUYQf6JLMaJjCIaR-5LWrytsqC_VDNhH4c5MM68lIwvD6Fi1j-gQLmqj2GJjqTXC1wveA2Gc1fjZcO04_sNzoayWXYrNk4EkQTBSUFLlaW0u83Eh6nlbFW_A2AeXEKzFs1zP8qPUbY8FIiJPYNCHCADMO74clKkJvZI05gk_28YsZxYk3nrGcHmuAYRIn_igJnFxG-w5bpNyepWfVylAOlx_o4v7JCWuFeK5oFeLPgp_2dTnAZFbijgIyIsx9QlUoLEDEWWrmO_FZ8s6HgDHkmcgDpM8gmlAlvCT3Gu242IY_7HhFS0JNGvcfQBzUsAW0WCnDVXlqhgEIlN-roNDAgMZ5dshsf3CZEpfnw==&p=1&fvj=1&vjs=3,sj_8e4ebf6f8f6568f8,Senior Data Scientist,Pythia Sports,Temporarily Remote in London SW1V,"£60,000 - £95,000 a year"
2,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrVOLqRJ5-yjEjDkpeVLIPLLqsWCshZUgPwEJ8bbWYzKqV902kNSeC8gs0GgreAlj7tUR3FL6ylNkxJZWgHF0rWezDBrmd9shwe7CKuxEbNa72p7Rt25lBxE1DqNfmXJNVV9rzjE-zO9WNM6mqmunbdYN8bL4BeU6JiB67cTaNk3a0yNPiKQdol7L048liq0zKo__aBgM3D0MaNlXF4VZUbResK8bBUhz0GMIwJ_r9VLz8Ghd8vLp4DgJvI4pwOqJJbICx_iAmfiOQp-rUe45-SJBiwTdL1_WmLKGGUOOO8SfLJKbIpy2HS7gvHvijhPRISdhfbBQGd0qiwJU_pIJz_hP0hbjxhnWfF9srXkXvsG9b2z1uAjW6lnfPczAXs0342p_t2KasjTBzpeHZeKrwEybEHHMbCy630klAoPMKuaHmfZ8OZhiZLQwfn5_95TYxfgmcNWwfqZCpQ1IZIFa9MCLn7e2QCgm6JKetWxizjV6h14IFbpjCGguppMfzW5BTp94EsWOkG9A9wb1EGw-wcSaIpkjToWpLvVgNjADZyG1rbBMZ6570x4V_gkMLBuKkkwhQ34XSVoLzp21RefrSg6prPXUWz5i0q8Ex63QAIUi9F06ruWnwgNQlopcwqrpWT7bxVEd7zYFqAnj6GMLbT1vkuxPtdWD8-IUDITWhNPijEPkvXQ9qciuJnTp-k1ps0yffQKHi74aBXwxSZ3d9VW0BB-JtJbkiJ-Nd3IRo2g2WhijsSNA5PaiI5vVis11SVC4ckrn2qM-iT2ZRLlvugdKzya--MK0knk_ssU-cSMuTAhG_uarPiQCpjSVJSyYeA_W27qiB_GjvEBFslAQ3rwM3tGWvaC7hGcso3i4UGfFzUKbhSkH3MvKhtJPr0td-9q_7FU8ItcdaNX-WtcwdYIMVD4V4muQPiL8kWGXcOMAz9kC0PTSTrh55pk2eX-GCYak4654PJOzdWj6cKX1KZA2jUfNqgCyyTXJgVWVcaozu-oj0v0OjL0=&p=2&fvj=0&vjs=3,sj_ea0dab3f57484f5a,"new
Data Support Engineer - Hybrid - London",Hexegic,Remote in London,"£45,000 - £60,000 a year"
3,https://uk.indeed.com/rc/clk?jk=6777bedf831aaee5&fccid=231c81d7782c6a21&vjs=3,job_6777bedf831aaee5,"new
Data Scientist",MI5,London,"£54,214 a year"
4,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DzwreoEVFOkXRcFH1aYDKs9BsTnM4S4dXogYMNQuxRsWEvU3NmJBXmQipkwYVPqOzuiiBywmCcdqhTNYg8kBp4QEvkReDv08M7jMBz1Lz-hqmMW_zDQgjrC2T9Ym3i-dL-HLneqAauNIrO7FnUnh_-d7rNBnVqR0ujrBlf9ig3El-Bc06uplmRz6s0dVp9eIZi74WC6pBHQxzYsyEy94ueGn7MnA9liNhVuNmX0YKL5BnLYO0haau7JN_9x2vpesyyw5i1bUMdGIsUzOED6fQWcBvF1nO1cQY87zVS8uPTRbEJwR3Zflr31aZQYzoOeZwFL4HayO0E3pkpbMNjQv8KZejY3ZsnF8imS-pAtav8qKhPmAO6buURtPRLoCxDNb1oZrEz6jdl3tpZ_Ol-C7Pq1rGN6VQFh0e5C7ls8rVRnM34PCQctdwVi3d2FBkR9ob34InsdTQBp4hawUXw-9Kojxs_FfTP9UzmZZJdzaOgP_Wt6GEEF1pB-qOufm8FZuLOmhHz3GMKzw==&p=4&fvj=1&vjs=3,sj_9d45ffb4d482a193,Junior Data Scientist,Inspiring Interns,Remote in London,"£23,000 - £30,000 a year"
5,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJQ0-wQi4dHjzgsqvcxZH82SCA8r7y1wuipeHvXViMu82UVwI4SNIDxKFyn6Hzn18swTPd36hueY7FGQXYNL1ODDM07X5yT1NCRigFvRVwpeyCEVzAYStOqDa_YLK_YOra0SAGc2Vm7c_J133QKtLGQ4MYqQMo3uBf9rtYhvHnW0UPhOQG1ss63rS9SnXzuKhYnlJJaFC8_xKkWKb0LDEX9zo9DUdUO1D7HIJxl_pttbjNp-R5OicmjoMR5i2meUUOk323NQVhldzOlieGG7oHkHsw-rTS5XzO4zvsxAlxmlaE11oO1K_qVR0LeMVDPAw6AlbBOdhDynQ5tKgptrinSWakW3QwzwDEjM1PQNay7FjywiJFM3HpEoWxYcEfBJ2aYhjgMSKjGU14OU2_WfawdoOL_iBmmn1cqBREaGOIJHtvLGADdJ6qpHefJ_RLP1xdDGgwI49RcVyJgd_FgCRlWBEyUYxN2_cjrPuUUu0783m5QMxDs1Xr97nQMexx-MbNsoChZj7RN3wDu3X7hWcH6NRd-gKkC9A=&p=5&fvj=1&vjs=3,sj_63c92ffb71fad229,Data Scientist- Applied Data Science,causaLens,Hybrid remote in London W6,
6,https://uk.indeed.com/rc/clk?jk=452e7a3928834671&fccid=9349cb4eea770eba&vjs=3,job_452e7a3928834671,"new
Data Scientist",Marks & Spencer,London,
7,https://uk.indeed.com/rc/clk?jk=d9af18696a729238&fccid=396f5ba534ee585d&vjs=3,job_d9af18696a729238,"new
Data Scientist",Burberry,London,
8,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIaXaR7dTpX_A-Rxdwo6yaKo884Q0MY7CIaUoFp9FEmcJvfrwjlz9Jt5BFA8RCx9uNw4ofdwLwFsARdO2HDkkYK2U-zfr83Oef5O_1XxtT8OH6UBJi744t-YDrVaT6guTWEi6xjqlLsgbGi4D9k92YbDK8lZJJD_YvQhcXAg7D5eulnNjUaNEQixI6igHA6mrM2XHN2fwrDKK8RlswJEb-0nFBcFPFNtXCUfaR8oH-KTAWezJ3_GXNGXCiu9L7OujCFar0ggYmqK4ASwdVhEjaVYkucepA6kY51UjautPYEh9ABWs-eUZgC9AOzMy6Y1r5BfNKAcyx5_zaMFQugDKkem4enfzDUeJIDGDmwphpoxaw-B6UbnK_FH6lrD4LXWKtZppdRThfHg8FAupVfsNnY1khG8gZ1EdG4pUC-l8hOOZgal04BMd_8lmB2iB_8IC1lijGqF1o8TDJPL-CHtsVJuieIj88YBa3KVo51E6uOVxiZuJ6HIvgNxngKibWU_-yW2jdsOBlfP-UCCbIe8jlF_R-0WPp6zuRQwUKvt2NBmY2sMBsxDOjljQ7b9-hBUQ-LbtE7epkBkrPOV83cxrWKe4Zvvj1pVA=&p=8&fvj=0&vjs=3,sj_62de84169facd4ce,"new
Data Analytics Engineer Tableau",client server,London,"£50,000 - £68,000 a year"
9,https://uk.indeed.com/company/Pirical/jobs/Junior-Data-Engineer-1ffb8f8d7dbec08b?fccid=b65c3887f8ddeff6&vjs=3,job_1ffb8f8d7dbec08b,"new
Junior Data Engineer",Pirical,London,"£30,000 - £35,000 a year"
10,https://uk.indeed.com/company/Intent-HQ/jobs/Data-Scientist-0120d37c77fcbffd?fccid=10cfd8368088acd6&vjs=3,job_0120d37c77fcbffd,Data Scientist,Intent HQ,London SW1Y,
11,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B4I0z8Vg4C22bXJk453pUE2nnLCUOyY_R-ihB16RDW65dAXO9w17QY8SOm2HP94Hp2jbUkoHG5Kmt9kZomU0MXvetkbDHxtnXR15AA8SiV-XcWNkdnL4Gb53f2y02bVOtTj4g1qbhH703ckqpk8Yoc02ydnf4S1I6FZl5sYCyP7ArATBd-FK20RA3Dn3V8cpxltOB-dG1bTFpfdRwSS1fLg7SlUV4OkvGnL3iUReaOUnBQ-Dty6mn6YOnSSD_8JAi33qoEdKfTV7SrcuyQX6g47Ih1OYLo9WMKo9m7wVjzrotFqkTlixGNMUDbTkPE5_W1qQc8i0y8xjow7OfHXwZ_J9sgPBxc_bWrWOK-qnlYw20ZYqMIQTyQbdS1FW2VyB0dbhB7qLY0szN5usE5FNGP-ZvKLN6F99HB5VpHIvk4JQfnzSCAu_QWgp46_pG4em-PvF002zUhJW-nMj1Nx1haImfoRtf2a0HTCRi7jxPN_Jz2ACVyxwtmGf03a7SfC_OzQDwGccR1u_3AWMR0PND7QdGTvZ1gz2lYzBAQnG3lNZiDm7jwFZxstOf4mYNMzqNB9v4IqZsbWQgK-CLcPd8DbDG-0flo-yLpTbXhbMbQezILlND9Cogj3GIfitr6vBJ9_HuWILq9xOwrV41YyW9Y4j-0crFPF2Ot-TOTYcfIoeK4Ff-9_7_Zjz__KoOH1WA=&p=11&fvj=0&vjs=3,sj_62513607309e2768,Data Scientist,Metrica Recruitment,London,"£50,000 - £100,000 a year"
12,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSQNYCQT7nHq8P0wNJS_USmk1iEIfTbn18KnDTRcZj2XmzV6qj3mrFRvpbZoHba5UL-19NJ5tsBjvaad0f4wnWAdfmQQAADtn3QVuPQl3jevOAERFIfCIyQcexVIsPAPF06x__gE7Z29BLkm-2b20k-9iFuLeIsljkzS1U4Hrlsg6fx63-OUAzEaiDSU5APsB9cQBJdMsGxOS410fm2iRPLVa5WlpTw-azPLuuwpywJNb71hNS_540Np48YS3ev9V46ziEbHYz_x8QF7qaaBGzZC_bhjglIOyuz-74LvAnglPrFVhvhAMuVcIbTZgWBozt8XidjpUcHBP0bRNFrzKvqF1H8_rmU_KmSqsa1KZqCJ9TvvRdf4R_t4DdiIOOskyE93aazduyu_WC4AcZiHNFKKyDoRTz4nLji6NDpuEvV66ScInf0y60mImapnh39rjypBDt5XKGAoZrdeUgrBaxZKDojiu7V6geQciCcLYnv0CkskTI3BlHsBZN4iMG3aXBVDNpaWtoJSUFYiRnIV4MTKUz_sD-m4qlYiOYX2sK0wgvgd9gRXCzuloOPfYcgKMvxKa8FrHoHtjTXtX_XhxbVv3HQMpEAASllHxhcoOV5qt0Asd2zWUGNkGz5bkAuR78lzHtL3z-jahQ5_w-ko6dknCivT0Xh6NzssoLIotRWWaD2KMZOXacLXPvCkwj1q2B_h2HgOMbMNQI3Cl2otEyaWRyAu40bQo=&p=12&fvj=0&vjs=3,sj_d520c644e74cecc8,"new
Researcher Data Scientist",Lorien,London,"£30,000 - £60,000 a year"
13,https://uk.indeed.com/rc/clk?jk=e7d30ae416f248ca&fccid=3b93fef79b0b7b69&vjs=3,job_e7d30ae416f248ca,Data Scientist - suit recent PhD (London based with remote w...,Talenting,Remote in London,"£50,000 - £55,000 a year"
14,https://uk.indeed.com/rc/clk?jk=6e3c68351af4e4b2&fccid=ea43caad0cf3b0a2&vjs=3,job_6e3c68351af4e4b2,Junior Data Scientist,Behold.ai,London,
